oid,OBJEKT Inventarnummer,OBJEKT Sammlung,klassifikation,webtext,datierung,herstellung,herkunft,OBJEKT -> Inhalt,OBJEKT -> Masse,OBJEKT -> Material und Technik
195343,DEP-1142,Wagen und Schlitten,Schlittenkasten,"In Form eines L�wen, zweisitzig, Lakaiensitz in Herzform. 1700 - 1800. 94 x 203 cm. Holz. ",1700 - 1800  ,,,,"H�he 94 cm, Breite 203 cm.
H�he 94 cm, Breite 203 cm.
H�he 94 cm, L�nge 214 cm, Breite 55 cm.",Holz.
195345,DEP-1143,Wagen und Schlitten,Schlittenkasten,"In Form eines Delphins mit ge�ffnetem Rachen, einsitzig, Meeresungeheuer. 1700 - 1800. 73 x 213 x 59 cm. Holz, bemalt. ",1700 - 1800  ,,,,"H�he 73 cm, L�nge 213 cm, Breite 59 cm.","Holz, bemalt."
195347,DEP-1144,Wagen und Schlitten,Schlittenkasten,"In Form eines Polsters mit goldenen Quasten, Stabellenlehnen, Blumendekor. 1700 - 1800. 78 x 110 x 33 cm. Holz, bemalt. ",1700 - 1800  ,,,,"H�he 78 cm, L�nge 110 cm, Breite 33 cm.","Holz, bemalt."
189679,LM-241,Wagen und Schlitten,Schlitten,"Figuren-Reitschlitten in Form eines L�wen, mit Wappen Tobler. 1700 - 1800. 183 x 198 x 78 cm (L�nge ohne Landen). geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 183 cm, L�nge 198 cm, Breite 78 cm ( L�nge ohne Landen).","geschnitzt, bemalt."
189719,LM-873,Wagen und Schlitten,Schlitten,"Mit gepolstertem Sitz. Als Bekr�nung des Bugs ein Mohr. 1700 - 1800. 184 x 230 x 80 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 184 cm, L�nge 230 cm, Breite 80 cm.","geschnitzt, bemalt."
189733,LM-991,Wagen und Schlitten,Fahrrad,Zweirad. Knabenvelo. Sogenannte 'Draisine'. Datiert 1766. Holz. ,1766,,,,,Holz.
322966,LM-1122.a,Wagen und Schlitten,Rennschlitten,"Geschnitzt und bemalt. Mit Wappen. 1700 - 1800. 135 x 280 x 70 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 135 cm, L�nge 280 cm, Breite 70 cm.","geschnitzt, bemalt."
189791,LM-1182,Wagen und Schlitten,Schlitten,"Mit Allianzwappen der Meyer von Schauensee. Als Bekr�nung ein bemalter Vogelkopf. 1700 - 1800. 168 x 210 x 75 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 168 cm, L�nge 210 cm, Breite 75 cm.","geschnitzt, bemalt."
6939,LM-1224,Wagen und Schlitten,Schlitten,"Beidseitig bemaltes Stirnbrett eines Rennschlittens. Inhalt: Kloster Fischingen (TG), Kloster. Ida von Toggenburg, hl. Herstellung: Anonym. Um 1800. Herkunft: Fischingen (TG), Kloster. 104 x 235 x 82 cm. Stirnbrett: Kupfer, �l. 

Literatur:
Jahresbericht SLM 1895, S. 47. - Kdm TG 2, 1955, S. 219, Abb. 207, S. 221, Nr. 3. - H.-P. MATHIS u.a., Barockes Fischingen, Katalog zur Ausstellung Kloster Fischingen, 27.9.-27.10.1992, S. 290, Nr. 3.3.17, S. 284, Abb. - Klosteransicht: Kdm TG 2, 1955, S. 75, Abb. 66.- Zur Legende der hl. Idda von Toggenburg: HBLS 4, S. 330. - W. AB HOLENSTEIN, Schweizer Heiligen Legende, Olten 1939, S. 68. - H.-P. MATHIS u.a., Barockes Fischingen, Katalog zur Ausstellung Kloster Fischingen, 27.9.-27.10.1992, S. 129-213. ",1800,Anonym. ,  ,"Kloster Fischingen (TG), Kloster. Ida von Toggenburg, hl. ","H�he 104 cm, L�nge 235 cm, Breite 82 cm.","Stirnbrett: Kupfer, �l."
190735,LM-1269,Wagen und Schlitten,Schlittenkasten,zweiteiliger Schlittenkasten in Figur eines Ochsen. 1690 - 1700. 96 x 160 x 66 cm. ,1690 - 1700  ,,,,"H�he 96 cm, L�nge 160 cm, Breite 66 cm.",
190772,LM-1656.a,Wagen und Schlitten,Schlitten,"Auf beiden L�ngsseiten je eine Reiterfigur. Bugbekr�nung: Sennenfigur. 1700 - 1800. 185 x 225 x 85 cm (ohne Senn (aufsteckb). geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 185 cm, L�nge 225 cm, Breite 85 cm (ohne Senn (aufsteckb).","geschnitzt, bemalt."
190791,LM-1695,Wagen und Schlitten,Kinderschlitten,"Mit rotem Samtpolster. 1790 - 1800. 58,5 x 37 x 33 cm. ",1790 - 1800  ,,,,"H�he 58.5 cm, Breite 37 cm, Tiefe 33 cm.",
190828,LM-2047.1-2,Wagen und Schlitten,Schlitten,"Wurstschlitten 'Dudelsackbl�ser' aus Ermatingen. 1700 - 1800. 187 x 237 x 100 cm. geschnitzt, bemalt. ",1700 - 1800  ,,,,"H�he 187 cm, L�nge 237 cm, Breite 100 cm.","geschnitzt, bemalt."
191050,LM-2811,Wagen und Schlitten,Schlittenkasten,"Polsterung aus beigefarbenem Filztuch. Innwendig mit schwarzem Leder. 1750 - 1800. 77 x 224 x 78 cm. bemalt, versilbert. ",1750 - 1800  ,,,,"H�he 77 cm, L�nge 224 cm, Breite 78 cm.","bemalt, versilbert."
191052,LM-2812,Wagen und Schlitten,Schlittenkasten,"In Form eines L�wen. 1700 - 1800. 83 x 198 x 59 cm. Holz, bemalt, geschnitzt. ",1700 - 1800  ,,,,"H�he 83 cm, L�nge 198 cm, Breite 59 cm.","Holz, bemalt, geschnitzt."
